ath,bvu,cpa,cqu,mtr,ptr,sly,ugi,vvi
22,0,2,1,1,1,1,1,58
10,16,3,1,0,0,1,1,0
354,96,7,2,0,2,2,2,28
245,0,7,4,2,2,2,2,15
0,7,0,1,0,0,1,1,7
7,62,1,1,0,1,0,1,0
31,0,2,0,0,0,1,1,0
214,125,4,5,3,2,2,3,8
192,37,2,0,0,1,1,1,40
32,0,3,0,4,4,2,2,0
54,47,1,1,2,2,1,1,0
110,4,4,1,0,0,2,1,0
0,34,0,1,1,1,1,1,31
150,228,2,7,1,1,1,1,14
0,24,1,1,1,1,1,1,25
0,147,0,4,1,1,0,1,0
177,56,7,0,1,1,1,1,42
0,79,0,0,4,1,1,1,0
72,115,1,3,0,1,1,1,0
28,0,3,1,0,1,1,1,31
196,108,5,2,1,1,2,2,0
346,24,4,1,3,1,1,1,0
0,117,0,5,0,1,1,1,1
47,37,2,0,1,0,2,1,29
239,205,5,2,1,1,1,1,0
0,11,0,0,1,0,0,1,0
33,160,1,4,0,0,1,1,0
0,75,1,2,4,2,2,2,1
103,84,2,1,2,2,2,2,34
136,40,5,2,2,2,2,2,28
124,0,2,0,2,2,2,1,10
21,144,2,2,1,1,2,2,1
58,49,2,1,2,2,3,1,0
38,0,1,2,0,1,1,1,6
0,22,1,4,0,1,1,1,13
578,1,11,5,0,0,1,2,26
0,8,0,3,1,1,0,1,67
175,72,5,4,2,3,2,2,48
279,104,4,1,2,1,1,1,5
198,36,4,2,3,4,1,2,0
0,20,0,0,0,0,1,1,6
0,36,0,3,1,1,1,1,25
0,0,0,0,0,1,1,1,45
272,3,2,1,1,1,1,1,26
9,0,1,0,1,1,1,1,0
13,83,1,2,0,0,1,1,0
26,0,1,2,3,1,1,1,12
0,0,1,0,1,1,1,1,0
57,40,1,1,1,1,1,2,12
0,0,0,0,4,1,1,1,34
58,18,1,1,1,2,1,0,0
0,221,1,2,5,4,2,3,4
75,0,9,2,4,2,2,2,30
0,33,1,3,2,2,2,2,20
0,0,0,0,0,0,1,1,12
43,174,1,0,1,1,0,1,11
46,52,3,3,1,1,1,1,0
22,221,1,2,0,0,2,3,15
79,0,1,0,0,1,0,1,0
11,0,1,0,0,1,2,1,0
139,81,1,4,2,2,1,1,23
26,24,2,3,1,1,1,0,0
