Actinidia chinensis
Amborella trichopoda
Arabidopsis lyrata
Arabidopsis thaliana
Arachis ipaensis
Beta vulgaris
Brassica oleracea
Brassica rapa
Cajanus cajan
Capsella rubella
Capsicum annuum
Carica papaya
Chenopodium quinoa
Chlamydomonas reinhardtii
Cicer arietinum
Citrullus lanatus
Citrus clementina
Coffea canephora
Corchorus olitorius
Cucumis melo
Cucumis sativus
Daucus carota
Erythranthe guttata
Eucalyptus grandis
Fragaria vesca
Glycine max
Gossypium raimondii
Hevea brasiliensis
Malus domestica
Manihot esculenta
Marchantia polymorpha
Medicago truncatula
Micromonas commoda
Nelumbo nucifera
Oryza sativa
Petunia axillaris
Physcomitrella patens
Picea abies
Populus trichocarpa
Prunus persica
Pyrus x bretschneideri
Ricinus communis
Schrenkiella parvula
Selaginella moellendorffii
Solanum lycopersicum
Solanum tuberosum
Tarenaya hassleriana
Theobroma cacao
Trifolium pratense
Utricularia gibba
Vigna radiata
Vitis vinifera
Zea mays
Ziziphus jujuba
