Actinidia_chinensis,ach
Amborella_trichopoda,atr
Arabidopsis_lyrata,aly
Arabidopsis_thaliana,ath
Arachis_ipaensis,aip
Beta_vulgaris,bvu
Brassica_oleracea,bol
Brassica_rapa,bra
Cajanus_cajan,ccaj
Capsella_rubella,cru
Capsicum_annuum,can
Carica_papaya,cpa
Chenopodium_quinoa,cqu
Chlamydomonas_reinhardtii,cre
Cicer_arietinum,car
Citrullus_lanatus,cla
Citrus_clementina,ccl
Coffea_canephora,ccan
Corchorus_olitorius,col
Cucumis_melo,cme
Cucumis_sativus,csa
Daucus_carota,dca
Erythranthe_guttata,egut
Eucalyptus_grandis,egr
Fragaria_vesca,fve
Glycine_max,gma
Gossypium_raimondii,gra
Hevea_brasiliensis,hbr
Malus_domestica,mdo
Manihot_esculenta,mes
Marchantia_polymorpha,mpo
Medicago_truncatula,mtr
Micromonas_commoda,mco
Nelumbo_nucifera,nnu
Oryza_sativa,osa
Petunia_axillaris,pax
Physcomitrella_patens,ppa
Picea_abies,pab
Populus_trichocarpa,ptr
Prunus_persica,ppe
Pyrus_x_bretschneideri,pbr
Ricinus_communis,rco
Schrenkiella_parvula,spa
Selaginella_moellendorffii,smo
Solanum_lycopersicum,sly
Solanum_tuberosum,stu
Tarenaya_hassleriana,tha
Theobroma_cacao,tca
Trifolium_pratense,tpr
Utricularia_gibba,ugi
Vigna_radiata,vra
Vitis_vinifera,vvi
Zea_mays,zma
Ziziphus_jujuba,zju
