Orthogroup,Leersia_perrieri,Oryza_barthii,Oryza_brachyantha,Oryza_glaberrima,Oryza_glumaepatula,Oryza_meridionalis,Oryza_nivara,Oryza_punctata,Oryza_rufipogon,Oryza_sativa_IR8,Oryza_sativa_N22,Oryza_sativa_vg_indica,Oryza_sativa_vg_japonica,Total
OG0003032,4,1,1,1,1,2,2,1,2,2,3,2,6,28
OG0003033,1,1,4,0,4,2,3,2,1,6,2,1,1,28
OG0003034,1,3,3,1,1,1,3,3,3,3,3,2,1,28
OG0003035,2,2,2,2,2,1,2,1,2,3,4,2,3,28
OG0003036,1,3,3,1,6,4,1,1,2,2,2,1,1,28
OG0003038,2,2,3,1,2,2,3,2,2,2,2,2,3,28
OG0003039,1,2,2,2,3,3,3,1,3,3,3,1,1,28
OG0003040,3,4,0,2,2,1,2,2,2,3,3,2,2,28
OG0003041,2,1,4,2,2,1,3,3,1,5,1,1,2,28
OG0003042,1,3,3,0,2,1,3,2,2,4,3,3,1,28
OG0003043,2,1,1,1,2,2,1,5,1,7,1,2,2,28
OG0003044,2,2,2,2,1,2,2,3,2,3,4,1,2,28
OG0003045,5,2,0,1,1,3,2,3,1,4,2,2,2,28
OG0003046,2,1,2,2,2,0,3,1,1,5,5,1,3,28
OG0003047,3,1,0,4,0,3,5,1,2,0,5,1,3,28
OG0003048,3,2,3,0,3,3,2,2,2,2,2,2,2,28
OG0003049,1,2,1,3,3,5,2,2,2,2,1,3,1,28
OG0003050,2,2,6,2,4,1,1,2,3,2,1,1,1,28
OG0003051,2,3,0,2,4,2,2,2,2,1,2,2,4,28
OG0003052,1,4,2,3,4,2,1,2,2,2,2,1,2,28
OG0003053,4,2,2,3,3,1,2,2,1,5,0,1,2,28
OG0003054,1,2,1,5,2,4,3,1,2,1,3,1,2,28
OG0003056,3,2,2,1,2,4,2,2,2,2,2,2,2,28
OG0003057,3,2,3,2,3,2,3,2,1,1,0,3,3,28
OG0003058,1,1,3,1,3,1,3,3,2,4,4,1,1,28
OG0003059,4,2,1,2,2,1,2,4,2,2,2,2,2,28
OG0003060,3,1,1,3,1,3,2,2,2,3,3,1,3,28
OG0003061,2,2,2,2,2,2,3,4,1,2,2,2,2,28
OG0003062,3,2,1,2,2,2,2,4,2,1,1,4,2,28
OG0003063,3,2,3,2,1,1,3,1,2,3,2,2,3,28
OG0003064,3,2,2,1,1,3,2,4,2,2,2,2,2,28
OG0003065,1,2,3,2,2,1,3,1,2,3,4,2,2,28
OG0003066,2,1,2,2,2,2,2,2,2,2,5,2,2,28
OG0003067,1,1,5,2,1,3,1,3,1,4,4,1,1,28
OG0003068,1,2,3,2,2,2,2,2,2,2,4,2,2,28
OG0003069,1,2,2,2,2,2,2,3,2,4,2,2,2,28
OG0003070,2,2,2,2,3,3,2,3,2,2,1,1,3,28
OG0003071,1,2,2,2,4,3,1,2,2,3,2,1,3,28
OG0003072,3,3,1,1,0,3,4,0,4,2,1,2,4,28
OG0003073,2,1,1,1,3,1,3,3,3,1,3,3,3,28
OG0003074,3,3,1,1,3,3,4,1,3,2,2,1,1,28
OG0003075,1,2,0,0,4,2,6,1,3,4,1,1,3,28
OG0003076,3,2,4,2,1,2,1,2,1,5,3,1,1,28
OG0003077,3,3,3,1,2,2,2,2,2,2,2,2,2,28
OG0003078,1,1,2,1,3,1,2,4,3,2,5,1,2,28
OG0003079,2,2,2,2,2,2,2,4,2,2,3,2,1,28
OG0003081,3,2,0,3,2,2,2,1,3,2,4,1,3,28
OG0003082,1,1,1,1,2,7,2,4,2,2,3,1,1,28
OG0003083,1,2,0,1,4,1,5,1,3,3,1,2,4,28
OG0003084,5,2,4,2,2,2,2,2,2,1,0,2,2,28
OG0003085,2,2,1,2,3,2,1,4,2,3,0,4,2,28
OG0003086,2,3,1,2,3,3,2,2,2,3,2,1,2,28
OG0003087,1,2,0,3,4,0,3,2,2,1,4,3,3,28
OG0003088,2,3,0,3,1,1,2,4,2,4,2,2,2,28
OG0003089,1,1,1,1,1,6,2,4,2,4,1,2,2,28
OG0003090,1,2,4,5,3,1,3,2,2,3,0,1,1,28
OG0003091,2,2,2,2,2,5,2,2,2,2,2,1,2,28
OG0003092,1,2,4,2,4,0,1,3,2,3,2,2,2,28
OG0003093,3,2,2,2,4,2,2,3,2,1,1,2,2,28
OG0003094,2,2,1,0,2,5,2,1,4,2,1,3,3,28
OG0003095,4,3,3,1,4,1,1,3,1,3,2,1,1,28
OG0003096,2,2,1,2,3,6,1,1,1,6,1,1,1,28
OG0003097,2,2,2,2,2,3,3,3,2,2,1,2,2,28
